RespondentID,Is it rude to wake a passenger up if you are trying to go to the bathroom?,How often do you travel by plane?,Do you ever recline your seat when you fly?,How tall are you?,Do you have any children under 18?,Is it rude to move to an unsold seat on a plane?,"Generally speaking, is it rude to say more than a few words to the stranger sitting next to you on a plane?","On a 6 hour flight from NYC to LA, how many times is it acceptable to get up if you're not in an aisle seat?","Under normal circumstances, does a person who reclines their seat during a flight have any obligation to the person sitting behind them?",Is it rude to recline your seat on a plane?,"Given the opportunity, would you eliminate the possibility of reclining seats on planes entirely?",Is it rude to ask someone to switch seats with you in order to be closer to friends?,Is it rude to ask someone to switch seats with you in order to be closer to family?,Is it rude to wake a passenger up if you are trying to walk around?,"In general, is it rude to bring a baby on a plane?","In general, is it rude to knowingly bring unruly children on a plane?"
3433092542,"No, not at all rude",Once a year or less,Usually,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433092034,"No, not at all rude",Once a year or less,Once in a while,"5'8""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433091714,"No, not at all rude",Once a year or less,Never,"5'1""",No,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433091359,"No, not at all rude",Once a year or less,Once in a while,"5'7""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433089571,,Never,,,,,,,,,,,,,,
3433089108,,Never,,,,,,,,,,,,,,
3433085566,"No, not at all rude",Once a year or less,Usually,"5'6""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433081885,"No, not at all rude",Once a year or less,Usually,"5'7""",Yes,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433081158,"No, not at all rude",Once a year or less,Never,"5'8""",Yes,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3433075339,,Never,,,,,,,,,,,,,,
3433070885,"No, not at all rude",Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433070481,"No, not at all rude",Once a year or less,Never,"5'3""",No,"Yes, very rude","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433068348,"Yes, somewhat rude",Once a year or less,Never,"5'11""",No,"Yes, somewhat rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433066014,"No, not at all rude",Once a month or less,Usually,"5'3""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433065951,"Yes, somewhat rude",Once a year or less,About half the time,"5'4""",Yes,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",Yes,"Yes, somewhat rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433065628,,Never,,,,,,,,,,,,,,
3433061705,"No, not at all rude",Once a year or less,About half the time,"5'9""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433060473,"Yes, somewhat rude",Once a month or less,About half the time,"6'3""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude",,
3433060186,"Yes, somewhat rude",Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433059796,"Yes, somewhat rude",Once a year or less,About half the time,"5'5""",No,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433058854,,Never,,,,,,,,,,,,,,
3433058367,,Never,,,,,,,,,,,,,,
3433056786,"No, not at all rude",Once a year or less,Never,"5'4""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433056614,,Never,,,,,,,,,,,,,,
3433055279,,Never,,,,,,,,,,,,,,
3433048675,"Yes, somewhat rude",Once a month or less,Once in a while,"5'10""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433047339,"No, not at all rude",Once a year or less,Once in a while,"5'8""",No,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3433047308,"Yes, somewhat rude",Once a month or less,About half the time,"6'0""",Yes,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","No, not at all rude"
3433046738,"No, not at all rude",Once a year or less,About half the time,"5'7""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433046022,"No, not at all rude",Once a year or less,Always,"5'7""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433045463,"No, not at all rude",A few times per month,Always,"5'5""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433044521,"No, not at all rude",Once a year or less,Always,"5'6""",No,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude","Yes, very rude"
3433042186,"Yes, very rude",Once a year or less,Once in a while,"5'7""",No,"Yes, very rude","Yes, very rude",It is not okay to get up during flight,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude","Yes, very rude"
3433041420,"No, not at all rude",Once a year or less,Always,"5'5""",No,"Yes, very rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, very rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433040924,"No, not at all rude",Once a year or less,Once in a while,"5'9""",No,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3433040828,,Once a year or less,Once in a while,"5'8""",No,,,,,,,,,,,
3433040639,"No, not at all rude",Once a year or less,About half the time,"5'4""",No,"Yes, somewhat rude","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433040502,"No, not at all rude",Once a year or less,Usually,"6'0""",Yes,"Yes, very rude","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433040208,,Once a year or less,Never,"5'11""",,"Yes, somewhat rude","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,,,,,
3433038916,"Yes, somewhat rude",Once a year or less,Usually,"5'2""",No,"Yes, somewhat rude","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3433038337,"Yes, somewhat rude",Once a year or less,Never,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, very rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433038245,"No, not at all rude",Once a year or less,About half the time,"6'0""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433036321,"Yes, somewhat rude",Once a year or less,Never,"5'2""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, somewhat rude"
3433036205,,Never,,,,,,,,,,,,,,
3433032917,"No, not at all rude",Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433026928,"No, not at all rude",Once a month or less,Once in a while,"5'11""",Yes,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3433024395,,Never,,,,,,,,,,,,,,
3433024187,"No, not at all rude",Once a month or less,Once in a while,"6'0""",No,"No, not rude at all","Yes, somewhat rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433020399,"Yes, somewhat rude",Once a year or less,Always,"5'0""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433018911,"No, not at all rude",Once a year or less,Never,"5'0""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3433016483,"No, not at all rude",Once a year or less,Always,"5'6""",No,"Yes, somewhat rude","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3433011754,"No, not at all rude",Once a year or less,Usually,"5'7""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433010954,,Never,,,,,,,,,,,,,,
3433010053,,Never,,,,,,,,,,,,,,
3433006165,"No, not at all rude",Once a year or less,Usually,"5'8""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3433005536,"No, not at all rude",Once a year or less,Once in a while,"5'7""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433003776,"No, not at all rude",Once a month or less,Usually,"5'10""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3433003301,"No, not at all rude",Once a year or less,About half the time,"5'4""",Yes,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude"
3433000796,"Yes, somewhat rude",Once a year or less,About half the time,"5'5""",Yes,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432997737,"No, not at all rude",Once a year or less,Once in a while,"5'11""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3432993607,"Yes, very rude",Once a year or less,Once in a while,"5'5""",No,"Yes, somewhat rude","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3432985328,"Yes, somewhat rude",Once a month or less,Once in a while,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude"
3432985270,"Yes, somewhat rude",Once a year or less,Always,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432984528,"Yes, somewhat rude",Once a year or less,About half the time,"5'11""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3432984086,"No, not at all rude",Once a year or less,Usually,"5'11""",No,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3432983878,,Never,,,,,,,,,,,,,,
3432982461,"No, not at all rude",A few times per month,About half the time,"5'6""",Yes,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3432981710,"No, not at all rude",Once a year or less,Always,"5'6""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3432981204,"No, not at all rude",Once a year or less,Once in a while,"6'2""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3432979719,"Yes, somewhat rude",Once a year or less,Once in a while,"5'4""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude"
3432975899,"Yes, somewhat rude",Once a year or less,Never,"5'8""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432974561,"No, not at all rude",Once a year or less,Once in a while,"5'10""",No,"No, not rude at all","Yes, somewhat rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432973828,"No, not at all rude",A few times per month,Always,"5'10""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432972333,"No, not at all rude",Once a year or less,Usually,"5'5""",No,"No, not rude at all","No, not at all rude",More than five times times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3432970038,"Yes, somewhat rude",Once a month or less,Usually,"5'9""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432968822,"No, not at all rude",Once a year or less,Always,"5'11""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3432965050,"Yes, somewhat rude",Once a month or less,About half the time,"5'3""",No,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3432963197,"No, not at all rude",Once a month or less,Once in a while,"5'5""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3432962590,"Yes, somewhat rude",Once a year or less,About half the time,"5'8""",Yes,"No, not rude at all","Yes, somewhat rude",Twice,"No, the person on the flight has no obligation to the person behind them","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3432960705,"No, not at all rude",Once a year or less,About half the time,"5'2""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432952223,"No, not at all rude",Once a year or less,Once in a while,"5'9""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3432949297,"No, not at all rude",Once a month or less,Once in a while,"5'4""",Yes,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432946991,"Yes, very rude",Once a year or less,Usually,"5'10""",No,"Yes, somewhat rude","Yes, very rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3432944386,"No, not at all rude",Once a year or less,About half the time,"5'7""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3432942662,"No, not at all rude",Once a year or less,Always,"5'11""",No,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3432941768,"No, not at all rude",A few times per month,Never,"5'8""",No,"No, not rude at all","Yes, somewhat rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude","Yes, very rude"
3432941469,"No, not at all rude",Once a year or less,About half the time,"5'7""",Yes,"Yes, somewhat rude","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432940589,"Yes, very rude",Once a year or less,Never,"5'2""",Yes,"Yes, somewhat rude","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude"
3432940391,,Never,,,,,,,,,,,,,,
3432939803,"No, not at all rude",Once a year or less,Always,"5'9""",Yes,"No, not rude at all","No, not at all rude",Four times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude"
3432938209,"No, not at all rude",Once a month or less,Always,"5'7""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3432936449,"Yes, somewhat rude",Once a year or less,Usually,"5'4""",Yes,"No, not rude at all","No, not at all rude",Once,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, somewhat rude"
3432929915,"Yes, somewhat rude",Once a month or less,Once in a while,"5'3""",Yes,"No, not rude at all","Yes, very rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude"
3432928226,"No, not at all rude",Once a year or less,Usually,"5'11""",Yes,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3432927637,"Yes, somewhat rude",Once a month or less,Always,"5'0""",No,"No, not rude at all","Yes, very rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3432923463,"No, not at all rude",Once a year or less,Usually,"5'9""",No,"No, not rude at all","No, not at all rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3432918978,"No, not at all rude",Once a month or less,Once in a while,"6'0""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, very rude","No, not at all rude","Yes, very rude"
3432918795,,Never,,,,,,,,,,,,,,
3432918732,,Never,,,,,,,,,,,,,,
3432918182,"No, not at all rude",Once a year or less,Always,"5'4""",Yes,"No, not rude at all","Yes, somewhat rude",Three times,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3432913287,"No, not at all rude",Once a year or less,About half the time,"5'9""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, very rude"
3432911727,"Yes, somewhat rude",Once a year or less,Always,"5'3""",No,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432911349,,Never,,,,,,,,,,,,,,
3432907771,"Yes, somewhat rude",Once a year or less,Never,"6'0""",No,"No, not rude at all","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
3432907735,"No, not at all rude",Once a year or less,Always,"5'8""",Yes,"No, not rude at all","No, not at all rude",Twice,"No, the person on the flight has no obligation to the person behind them","No, not rude at all",No,"Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","No, not at all rude","No, not at all rude"
3432907691,"No, not at all rude",Once a year or less,Usually,"5'4""",No,"No, not rude at all","No, not at all rude",More than five times times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3432904458,"No, not at all rude",Once a year or less,Usually,"5'7""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, somewhat rude"
3432903879,"Yes, somewhat rude",Once a year or less,About half the time,"5'10""",No,"No, not rude at all","No, not at all rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","No, not at all rude"
3432902085,"No, not at all rude",Once a month or less,About half the time,"5'3""",No,"Yes, somewhat rude","No, not at all rude",Four times,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",No,"No, not at all rude","No, not at all rude","Yes, somewhat rude","Yes, somewhat rude","Yes, very rude"
3432898980,,Never,,,,,,,,,,,,,,
3432893247,"Yes, somewhat rude",Once a year or less,Once in a while,"5'11""",No,"No, not rude at all","Yes, somewhat rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",No,"No, not at all rude","No, not at all rude","Yes, very rude","Yes, somewhat rude","Yes, very rude"
3432892407,"Yes, somewhat rude",Once a year or less,Once in a while,"5'3""",No,"No, not rude at all","No, not at all rude",Twice,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"Yes, somewhat rude","Yes, somewhat rude","Yes, somewhat rude","No, not at all rude","Yes, very rude"
3432889720,"No, not at all rude",Once a year or less,About half the time,"5'3""",No,"No, not rude at all","Yes, somewhat rude",Three times,"Yes, they should not recline their chair if the person behind them asks them not to","No, not rude at all",Yes,"No, not at all rude","No, not at all rude","No, not at all rude","No, not at all rude","Yes, very rude"
3432888725,"No, not at all rude",Once a year or less,Never,"5'7""",Yes,"No, not rude at all","No, not at all rude",Once,"Yes, they should not recline their chair if the person behind them asks them not to","Yes, somewhat rude",Yes,"No, not at all rude","No, not at all rude","Yes, somewhat rude","No, not at all rude","Yes, somewhat rude"
